Date,Description,Amount,Category,Method
2025-07-01,Consulting Fee - Client A,5000.00,Services,Bank Transfer
2025-07-05,Office Coworking Space,350.00,Rent,Credit Card
2025-07-15,Cloud Hosting,45.00,Software,Credit Card
2025-08-01,Consulting Fee - Client B,3500.00,Services,Bank Transfer
2025-08-10,Laptop Repair,200.00,Maintenance,Credit Card
2025-08-20,Travel - Conference Flight,450.00,Travel,Credit Card
2025-09-01,Consulting Fee - Client A,5000.00,Services,Bank Transfer
2025-09-05,Marketing Ads - Social,250.00,Marketing,Credit Card
2025-09-15,Cloud Hosting,45.00,Software,Credit Card
2025-10-01,Consulting Fee - Client C,2000.00,Services,Bank Transfer
2025-10-10,Accounting Software,30.00,Software,Credit Card
2025-10-20,Business Dinner,120.00,Meals,Credit Card
2025-11-01,Consulting Fee - Client A,5000.00,Services,Bank Transfer
2025-11-05,New Office Chair,400.00,Equipment,Credit Card
2025-11-15,Cloud Hosting,45.00,Software,Credit Card
2025-12-01,Consulting Fee - Client B,3500.00,Services,Bank Transfer
2025-12-10,Domain Renewals,120.00,Software,Credit Card
2025-12-20,Year-end Client Gifts,300.00,Miscellaneous,Credit Card
