Date,Description,Category,Amount,Method
2025-07-01,Rent Payment,Rent,2500.00,Wells Fargo
2025-07-03,Starbucks,Food - Eating Out,12.50,Chase Sapphire
2025-07-05,Trader Joe's,Food - Groceries,145.23,Chase Sapphire
2025-07-08,Shell Station,Car,45.00,Chase Sapphire
2025-07-10,Amazon Order,Household items,64.20,Chase Sapphire
2025-07-12,Netflix,Fun,15.99,Chase Sapphire
2025-07-15,Dinner at Nobu,Food - Eating Out,230.50,Amex Gold
2025-07-18,Target Run,Miscellaneous,85.44,Chase Sapphire
2025-07-20,Gym Membership,Fitness,50.00,Amex Gold
2025-07-22,Gas Station,Car,48.50,Chase Sapphire
2025-07-25,Utilities,Living,120.45,Wells Fargo
2025-07-28,CVS Pharmacy,Health care,24.30,Chase Sapphire
2025-08-01,Rent Payment,Rent,2500.00,Wells Fargo
2025-08-02,Coffee Shop,Food - Eating Out,8.75,Chase Sapphire
2025-08-04,Whole Foods,Food - Groceries,189.30,Chase Sapphire
2025-08-08,Home Depot,Household items,145.00,Chase Sapphire
2025-08-10,Uber Ride,Lift/Uber,24.50,Chase Sapphire
2025-08-12,Spotify,Fun,9.99,Chase Sapphire
2025-08-14,Movie Night,Fun,45.00,Chase Sapphire
2025-08-18,Lunch with Friend,Food - Eating Out,42.00,Amex Gold
2025-08-22,Car Insurance,Insurance,120.00,Wells Fargo
2025-08-25,Grocery Run,Food - Groceries,98.12,Chase Sapphire
2025-09-01,Rent Payment,Rent,2500.00,Wells Fargo
2025-09-03,Amazon Tech,Miscellaneous,120.00,Chase Sapphire
2025-09-06,Costco Run,Food - Groceries,340.10,Chase Sapphire
2025-09-08,Gas Fill up,Car,55.00,Chase Sapphire
2025-09-12,Flight to NY,Travel (tickets and lodging),450.00,Amex Gold
2025-09-15,Hotel Stay,Travel (tickets and lodging),800.00,Amex Gold
2025-09-20,Airport Taxi,Lift/Uber,65.00,Chase Sapphire
2025-09-25,Utility Bill,Living,115.00,Wells Fargo
2025-09-28,Spotify,Fun,9.99,Chase Sapphire
2025-10-01,Rent Payment,Rent,2500.00,Wells Fargo
2025-10-03,Weekend Brunch,Food - Eating Out,55.00,Amex Gold
2025-10-05,Trader Joe's,Food - Groceries,132.40,Chase Sapphire
2025-10-10,Concert Tickets,Fun,180.00,Chase Sapphire
2025-10-12,New Jacket,Clothing,150.00,Amex Gold
2025-10-15,Pharmacy,Health care,15.20,Chase Sapphire
2025-10-20,Dentist Co-pay,Health care,75.00,HSA Card
2025-10-25,Internet Bill,Living,80.00,Wells Fargo
2025-11-01,Rent Payment,Rent,2500.00,Wells Fargo
2025-11-05,Amazon Fresh,Food - Groceries,112.50,Chase Sapphire
2025-11-08,Gift for Mom,Gifts,100.00,Chase Sapphire
2025-11-12,Gas,Car,42.00,Chase Sapphire
2025-11-15,New Shoes,Clothing,120.00,Amex Gold
2025-11-20,Lunch,Food - Eating Out,18.00,Chase Sapphire
2025-11-24,Thanksgiving Dinner Shopping,Food - Groceries,250.00,Chase Sapphire
2025-12-01,Rent Payment,Rent,2500.00,Wells Fargo
2025-12-03,Coffee,Food - Eating Out,6.50,Chase Sapphire
2025-12-05,Christmas Tree,Household items,85.00,Cash
2025-12-10,Amazon Gifts,Gifts,200.00,Chase Sapphire
2025-12-12,Uber to Party,Lift/Uber,35.00,Chase Sapphire
2025-12-15,Holiday Gifts,Gifts,500.00,Amex Gold
2025-12-20,Year End Party,Food - Eating Out,120.00,Chase Sapphire
2025-12-28,Gas,Car,50.00,Chase Sapphire
2026-01-01,Rent Payment,Rent,2500.00,Wells Fargo
2026-01-02,New Year Breakfast,Food - Eating Out,35.00,Chase Sapphire
